"","Measurement","Well","Group","Time","OCR","ECAR","PPR","Date"
"502",6,"B10","SC07BasalGlyco",34,200.7499951,120.3115805,194.7603865,"20150712"
"503",6,"B11","SC07BasalGlyco",34,223.2339095,120.0485653,194.3346176,"20150712"
"504",6,"B12","SC07BasalGlyco",34,181.9199279,110.8626938,179.4645287,"20150712"
"511",6,"C07","SC10BasalGlyco",34,142.1918898,96.67075076,156.4906113,"20150712"
"512",6,"C08","SC10BasalGlyco",34,184.0101667,109.1476474,176.6882117,"20150712"
"513",6,"C09","SC10BasalGlyco",34,158.6966666,103.1995686,167.0594616,"20150712"
"514",6,"C10","SC10BasalGlyco",34,203.1430655,111.9736562,181.2629546,"20150712"
"515",6,"C11","SC10BasalGlyco",34,192.2612225,106.6900547,172.7098605,"20150712"
"516",6,"C12","SC10BasalGlyco",34,181.186446,107.2673632,173.6444075,"20150712"
"535",6,"E07","SC01BasalMito",34,49.4257614,60.54143559,98.00447593,"20150712"
"536",6,"E08","SC01BasalMito",34,46.86521466,68.36831418,110.674627,"20150712"
"537",6,"E09","SC01BasalMito",34,52.70245299,70.01407931,113.3387916,"20150712"
"538",6,"E10","SC01BasalMito",34,54.58222211,72.05789412,116.647319,"20150712"
"539",6,"E11","SC01BasalMito",34,47.0806349,64.44660919,104.326171,"20150712"
"540",6,"E12","SC01BasalMito",34,42.64797876,37.41205501,60.56263465,"20150712"
"547",6,"F07","SC07BasalMito",34,112.5265245,145.154435,234.9759995,"20150712"
"548",6,"F08","SC07BasalMito",34,120.3959739,130.417533,211.1199024,"20150712"
"549",6,"F09","SC07BasalMito",34,108.8217887,140.0903986,226.7783372,"20150712"
"550",6,"F10","SC07BasalMito",34,117.2672663,109.1385713,176.6735191,"20150712"
"551",6,"F11","SC07BasalMito",34,66.91301338,141.60878,229.2362931,"20150712"
"552",6,"F12","SC07BasalMito",34,66.36526197,144.59623,234.0723772,"20150712"
"559",6,"G07","SC10BasalMito",34,64.27678375,94.76801765,153.410467,"20150712"
"560",6,"G08","SC10BasalMito",34,90.94606306,106.7699112,172.8391322,"20150712"
"561",6,"G09","SC10BasalMito",34,81.44958634,129.9643957,210.3863637,"20150712"
"562",6,"G10","SC10BasalMito",34,112.1741455,113.5837203,183.8693264,"20150712"
"563",6,"G11","SC10BasalMito",34,61.81734356,110.2965395,178.5480382,"20150712"
"564",6,"G12","SC10BasalMito",34,81.37215104,152.1555134,246.3093451,"20150712"
"583",7,"A07","SC01BasalGlyco",40,47.92904131,64.29961614,104.0882186,"20150712"
"584",7,"A08","SC01BasalGlyco",40,57.84678828,64.88306342,105.0327031,"20150712"
"585",7,"A09","SC01BasalGlyco",40,46.35271318,42.42320722,68.67468784,"20150712"
"586",7,"A10","SC01BasalGlyco",40,44.19882529,50.75661467,82.16480784,"20150712"
"587",7,"A11","SC01BasalGlyco",40,48.15792781,57.66999986,93.35619577,"20150712"
"595",7,"B07","SC07BasalGlyco",40,71.82280222,132.8083628,214.9901776,"20150712"
"596",7,"B08","SC07BasalGlyco",40,70.8754858,173.4058503,280.7093904,"20150712"
"597",7,"B09","SC07BasalGlyco",40,86.36722091,170.2803617,275.6498496,"20150712"
"598",7,"B10","SC07BasalGlyco",40,82.13022537,188.6892204,305.45011,"20150712"
"599",7,"B11","SC07BasalGlyco",40,90.56490923,181.5407384,293.8781473,"20150712"
"600",7,"B12","SC07BasalGlyco",40,70.03624659,147.6897122,239.0801061,"20150712"
"607",7,"C07","SC10BasalGlyco",40,66.16850573,124.6273156,201.7466984,"20150712"
"608",7,"C08","SC10BasalGlyco",40,79.89728674,146.3027507,236.8348928,"20150712"
"609",7,"C09","SC10BasalGlyco",40,65.83491886,145.1618006,234.9879228,"20150712"
"610",7,"C10","SC10BasalGlyco",40,82.1965695,148.8041424,240.8841457,"20150712"
"611",7,"C11","SC10BasalGlyco",40,77.38078163,148.6669032,240.661983,"20150712"
"612",7,"C12","SC10BasalGlyco",40,59.6711277,142.5883078,230.8219527,"20150712"
"631",7,"E07","SC01BasalMito",40,160.2722986,63.46205163,102.7323692,"20150712"
"632",7,"E08","SC01BasalMito",40,168.3664016,68.93796226,111.5967733,"20150712"
"633",7,"E09","SC01BasalMito",40,174.777177,71.51211839,115.7638173,"20150712"
"634",7,"E10","SC01BasalMito",40,179.8679602,74.5696952,120.7134226,"20150712"
"635",7,"E11","SC01BasalMito",40,163.4354,67.97780241,110.0424665,"20150712"
"636",7,"E12","SC01BasalMito",40,111.5421061,44.83109042,72.57256917,"20150712"
"643",7,"F07","SC07BasalMito",40,490.9887498,167.247818,270.7407678,"20150712"
"644",7,"F08","SC07BasalMito",40,460.6730306,156.9295047,254.0374822,"20150712"
"645",7,"F09","SC07BasalMito",40,516.2963452,158.1847094,256.0694075,"20150712"
"646",7,"F10","SC07BasalMito",40,419.6594152,159.9880783,258.9887011,"20150712"
"647",7,"F11","SC07BasalMito",40,505.674916,149.4436768,241.919424,"20150712"
"648",7,"F12","SC07BasalMito",40,364.4206234,149.6378041,242.2336773,"20150712"
"655",7,"G07","SC10BasalMito",40,252.9598547,107.9459597,174.7429195,"20150712"
"656",7,"G08","SC10BasalMito",40,262.1822812,127.5655143,206.5030546,"20150712"
"657",7,"G09","SC10BasalMito",40,270.4845812,144.4381418,233.816464,"20150712"
"658",7,"G10","SC10BasalMito",40,372.1128099,142.489316,230.6617048,"20150712"
"659",7,"G11","SC10BasalMito",40,257.0130214,113.3112394,183.4282343,"20150712"
"660",7,"G12","SC10BasalMito",40,372.7896774,158.2250885,256.1347733,"20150712"
"679",8,"A07","SC01BasalGlyco",47,51.60486946,64.71364426,104.7584473,"20150712"
"680",8,"A08","SC01BasalGlyco",47,61.63651203,67.10621513,108.631541,"20150712"
"681",8,"A09","SC01BasalGlyco",47,47.06847226,45.02531745,72.88698388,"20150712"
"682",8,"A10","SC01BasalGlyco",47,46.07771078,53.5926806,86.75583136,"20150712"
"683",8,"A11","SC01BasalGlyco",47,48.29937819,58.00078196,93.89166584,"20150712"
"691",8,"B07","SC07BasalGlyco",47,72.44042998,136.5984682,221.1256004,"20150712"
"692",8,"B08","SC07BasalGlyco",47,67.47150131,174.1188684,281.8636242,"20150712"
"693",8,"B09","SC07BasalGlyco",47,82.16023406,175.9396252,284.8110652,"20150712"
"694",8,"B10","SC07BasalGlyco",47,76.9458429,186.1330793,301.3122288,"20150712"
"695",8,"B11","SC07BasalGlyco",47,86.50334503,184.5060409,298.678379,"20150712"
"696",8,"B12","SC07BasalGlyco",47,66.59554174,153.8500572,249.0524726,"20150712"
"703",8,"C07","SC10BasalGlyco",47,65.35221727,129.0586888,208.9202054,"20150712"
"704",8,"C08","SC10BasalGlyco",47,82.92432921,146.3377512,236.8915517,"20150712"
"705",8,"C09","SC10BasalGlyco",47,65.54862945,140.9258327,228.130738,"20150712"
"706",8,"C10","SC10BasalGlyco",47,75.98722311,157.897117,255.6038529,"20150712"
"707",8,"C11","SC10BasalGlyco",47,71.47372453,152.8395966,247.4167389,"20150712"
"708",8,"C12","SC10BasalGlyco",47,63.20211441,147.2983571,238.4465805,"20150712"
"727",8,"E07","SC01BasalMito",47,129.0669169,61.96897196,100.3153718,"20150712"
"728",8,"E08","SC01BasalMito",47,134.1172609,69.04896969,111.7764721,"20150712"
"729",8,"E09","SC01BasalMito",47,138.618613,69.65825421,112.7627819,"20150712"
"730",8,"E10","SC01BasalMito",47,142.9042504,72.67368107,117.6441549,"20150712"
"731",8,"E11","SC01BasalMito",47,131.2082502,68.25163352,110.4857443,"20150712"
"732",8,"E12","SC01BasalMito",47,91.3054163,47.83270277,77.43157925,"20150712"
"739",8,"F07","SC07BasalMito",47,528.7627705,168.9580163,273.5092368,"20150712"
"740",8,"F08","SC07BasalMito",47,538.5386493,160.6022414,259.9829084,"20150712"
"741",8,"F09","SC07BasalMito",47,561.754066,153.483585,248.4592274,"20150712"
"742",8,"F10","SC07BasalMito",47,498.8801877,165.1985504,267.4234134,"20150712"
"743",8,"F11","SC07BasalMito",47,552.0274025,145.749438,235.9391902,"20150712"
"744",8,"F12","SC07BasalMito",47,416.5632281,151.609579,245.4255865,"20150712"
"751",8,"G07","SC10BasalMito",47,281.1552466,107.137661,173.4344456,"20150712"
"752",8,"G08","SC10BasalMito",47,301.4941265,134.6258575,217.9323381,"20150712"
"753",8,"G09","SC10BasalMito",47,318.8202539,153.6234074,248.6855719,"20150712"
"754",8,"G10","SC10BasalMito",47,412.746202,139.2425746,225.4058798,"20150712"
"755",8,"G11","SC10BasalMito",47,291.8488712,116.0110988,187.7987667,"20150712"
"756",8,"G12","SC10BasalMito",47,406.440832,155.0674216,251.023142,"20150712"
"775",9,"A07","SC01BasalGlyco",54,54.68019621,60.80525632,98.43154894,"20150712"
"776",9,"A08","SC01BasalGlyco",54,63.68855266,62.95935086,101.9185972,"20150712"
"777",9,"A09","SC01BasalGlyco",54,48.60834304,41.58392825,67.31606305,"20150712"
"778",9,"A10","SC01BasalGlyco",54,46.76315661,49.24667587,79.7205189,"20150712"
"779",9,"A11","SC01BasalGlyco",54,48.35682488,56.52640607,91.50494615,"20150712"
"787",9,"B07","SC07BasalGlyco",54,75.49048383,128.5594608,208.1120552,"20150712"
"788",9,"B08","SC07BasalGlyco",54,68.83810832,165.2354474,267.4831423,"20150712"
"789",9,"B09","SC07BasalGlyco",54,83.48101304,163.2908682,264.3352574,"20150712"
"790",9,"B10","SC07BasalGlyco",54,78.73228636,179.0141774,289.7881503,"20150712"
"791",9,"B11","SC07BasalGlyco",54,87.76937727,175.619138,284.2922606,"20150712"
"792",9,"B12","SC07BasalGlyco",54,70.755005,145.2822101,235.1828418,"20150712"
"799",9,"C07","SC10BasalGlyco",54,67.44351802,120.8647368,195.655836,"20150712"
"800",9,"C08","SC10BasalGlyco",54,87.27618692,137.725783,222.9504975,"20150712"
"801",9,"C09","SC10BasalGlyco",54,67.79878755,132.6895621,214.7978631,"20150712"
"802",9,"C10","SC10BasalGlyco",54,77.36209108,149.6038625,242.1787327,"20150712"
"803",9,"C11","SC10BasalGlyco",54,75.51914999,144.4896453,233.8998379,"20150712"
"804",9,"C12","SC10BasalGlyco",54,68.19946537,133.2709237,215.7389713,"20150712"
"823",9,"E07","SC01BasalMito",54,117.4028497,59.7522898,96.72700673,"20150712"
"824",9,"E08","SC01BasalMito",54,123.6217107,65.94523513,106.7521466,"20150712"
"825",9,"E09","SC01BasalMito",54,124.9558595,66.91714783,108.3254789,"20150712"
"826",9,"E10","SC01BasalMito",54,128.8299623,70.94120083,114.8396159,"20150712"
"827",9,"E11","SC01BasalMito",54,119.6039267,67.07858772,108.5868178,"20150712"
"828",9,"E12","SC01BasalMito",54,82.12226649,47.60237769,77.05872901,"20150712"
"835",9,"F07","SC07BasalMito",54,495.4806309,166.9626979,270.2792154,"20150712"
"836",9,"F08","SC07BasalMito",54,529.2882159,159.1360809,257.6094877,"20150712"
"837",9,"F09","SC07BasalMito",54,497.4288229,147.1677292,238.23512,"20150712"
"838",9,"F10","SC07BasalMito",54,496.9006493,162.5327676,263.1080442,"20150712"
"839",9,"F11","SC07BasalMito",54,544.3137852,144.0377729,233.1683468,"20150712"
"840",9,"F12","SC07BasalMito",54,430.3845814,150.6180504,243.8205,"20150712"
"847",9,"G07","SC10BasalMito",54,286.9967433,107.8696269,174.619352,"20150712"
